id,sku,name,category_id,brand,price,tax_percent,status,visibility,product_type,created_at
18,GIL-00018,Full-Grain Leather Touchscreen Gloves,10,,186.44,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
19,GIL-00019,Knitted Wool Ribbed Winter Beanie,6,,296.56,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
20,GIL-00020,Curved-Brim Adjustable Baseball Cap,6,,407.92,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
21,GIL-00021,Full-Grain Leather Silver-Buckle Belt,5,,477.84,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
22,GIL-00022,Canvas Commuter Backpack with Laptop Slot,6,,490.86,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
23,GIL-00023,Messenger Shoulder Bag with Magnetic Flap,1,,41.87,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
24,GIL-00024,Evening Satin Clutch Purse,5,,431.11,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
25,GIL-00025,Compact Crossbody Bag with Zipper Pocket,6,,48.69,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
26,GIL-00026,Polarized UV-Protective Sunglasses,3,,19.69,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
27,GIL-00027,Stainless-Steel Minimalist Wristwatch,3,,73.12,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
28,GIL-00028,Gold-Plated Chain Link Bracelet,4,,401.11,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
29,GIL-00029,Sterling Silver Pendant Necklace,1,,480.03,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
30,GIL-00030,Minimalist Stainless Steel Ring,8,,107.96,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
31,GIL-00031,Premium Crystal Stud Earrings,1,,295.44,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
32,GIL-00032,Fabric-Wrapped Headband Accessory,7,,424.43,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
33,GIL-00033,Metallic Decorative Hair Clip,3,,217.52,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
34,GIL-00034,Oversized Cashmere Blend Shawl Scarf,8,,486.49,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
35,GIL-00035,Longline Insulated Winter Parka Coat,5,,107.64,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
36,GIL-00036,Waterproof Hooded Rain Jacket,5,,434.03,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
37,GIL-00037,High-Waisted Genuine Leather Skirt,3,,121.87,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
38,GIL-00038,Professional Black Pencil Skirt,9,,187.58,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
39,GIL-00039,Flowy Floral Print Maxi Dress,7,,51.82,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
40,GIL-00040,Elegant Satin Cocktail Party Dress,8,,186.7,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
41,GIL-00041,Floor-Length Sequin Evening Gown,2,,151.63,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
42,GIL-00042,Classic Blue Denim Button-Up Jacket,3,,257.45,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
43,GIL-00043,Slim-Fit Faux Leather Trousers,3,,332.45,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
44,GIL-00044,High-Stretch Black Workout Leggings,9,,206.59,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
45,GIL-00045,Tapered Cotton Jogger Sweatpants,10,,134.4,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
46,GIL-00046,Utility Cargo Shorts with Pockets,3,,328.98,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
47,GIL-00047,Two-Piece Padded Bikini Swim Set,3,,476.03,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
48,GIL-00048,One-Piece Shaping Swimsuit,5,,273.77,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
49,GIL-00049,High-Rise Yoga Performance Pants,6,,189.32,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
50,GIL-00050,Moisture-Wicking Sports Bra,4,,96.92,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
51,GIL-00051,Windproof Lightweight Running Jacket,3,,375.21,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
52,GIL-00052,Breathable Mesh Gym Training Shorts,8,,59.85,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
53,GIL-00053,Matching Track Jacket and Track Pants Set,10,,484.92,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
54,GIL-00054,All-White Lifestyle Casual Sneakers,2,,326.8,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
55,GIL-00055,Comfort-Foam Rubber Flip-Flops,10,,84.82,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
56,GIL-00056,Classic Leather Loafers for Men,4,,388.23,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
57,GIL-00057,Soft Ballet Flats with Bow Accent,1,,254.04,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
58,GIL-00058,Formal Leather Oxford Dress Shoes,5,,497.37,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
59,GIL-00059,Polished Derby Shoes with Round Toe,2,,219.37,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
60,GIL-00060,Canvas Espadrilles with Rope Sole,8,,425.54,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
61,GIL-00061,Open-Toe Slip-On Mule Sandals,7,,36.99,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
62,GIL-00062,Comfort Slide Sandals with Cushioned Footbed,10,,412.92,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
63,GIL-00063,Pack of Soft Cotton Crew Socks,5,,348.84,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
64,GIL-00064,Opaque Stretch Nylon Stockings,2,,421.59,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
65,GIL-00065,High-Elastic Seamless Tights,2,,140.52,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
66,GIL-00066,Silk Satin Necktie for Formal Wear,7,,71.69,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
67,GIL-00067,Pre-Tied Adjustable Bow Tie,2,,309.53,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
68,GIL-00068,Patterned Pocket Square Handkerchief,1,,18.83,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
69,GIL-00069,Classic Suspenders with Metal Clips,6,,389.91,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
70,GIL-00070,Silver Round Shape Cufflinks,8,,336.54,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
71,GIL-00071,Decorative Floral Metal Brooch,10,,394.24,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
72,GIL-00072,Vintage-Inspired Hat Lapel Pin,9,,228.98,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
73,GIL-00073,Compact Automatic Folding Umbrella,4,,495.02,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
74,GIL-00074,Premium Leather Tri-Fold Wallet,10,,116.12,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
75,GIL-00075,RFID-Protected Slim Cardholder Wallet,4,,61.03,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
76,GIL-00076,Zippered Leather Coin Purse,8,,437.5,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
77,GIL-00077,Passport Holder Travel Organizer,1,,454.13,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
78,GIL-00078,Waterproof Toiletry Travel Pouch,8,,305.85,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
79,GIL-00079,Neoprene Laptop Sleeve Case,6,,110.1,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
80,GIL-00080,Structured Hardcase Cosmetic Bag,9,,124.23,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
81,GIL-00081,Small Velvet Jewelry Storage Box,8,,257.32,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
82,GIL-00082,Ceramic Ring Display Holder,9,,222.79,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
83,GIL-00083,Luxury Glass Perfume Bottle,6,,379.34,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
84,GIL-00084,Nylon Drawstring Shoe Bag,10,,438.08,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
85,GIL-00085,Premium Leather Notebook Journal Cover,1,,160.95,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
86,GIL-00086,Soft Satin Hair Scrunchie Set,5,,91.0,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
87,GIL-00087,Thermal Fleece Neck Warmer,9,,271.42,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
88,GIL-00088,Lightweight Multifunctional Neck Gaiter,1,,135.44,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
89,GIL-00089,Moisture-Wicking Glove Liners,9,,415.63,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
90,GIL-00090,Insulated Winter Snow Mittens,1,,158.43,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
91,GIL-00091,Breathable UV-Protection Summer Gloves,6,,14.92,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
92,GIL-00092,Adjustable Waist Fanny Pack,2,,236.0,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
93,GIL-00093,Mini Faux-Leather Fashion Backpack,4,,216.52,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
94,GIL-00094,Compact Urban Crossbody Pouch,7,,463.11,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
95,GIL-00095,Structured Canvas Everyday Tote Bag,9,,206.91,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
96,GIL-00096,Eco-Friendly Reusable Cotton Tote Bag,7,,137.47,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
97,GIL-00097,Classic Blue Denim Overalls,10,,275.45,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
98,GIL-00098,Short-Sleeve Casual Summer Romper,3,,322.74,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
99,GIL-00099,Elegant Wide-Leg Jumpsuit,10,,46.19,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
100,GIL-00100,Tailored Business Casual Blazer Jacket,7,,440.09,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
101,GIL-00101,Formal Buttoned Suit Waistcoat,1,,195.79,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
102,GIL-00102,Relaxed-Fit Long Shirt Dress,4,,10.96,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
103,GIL-00103,Silk Kimono-Style Home Robe,3,,105.47,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
104,GIL-00104,Bohemian Printed Caftan Dress,10,,224.32,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
105,GIL-00105,Wool Knit Fringe Poncho,9,,240.75,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
106,GIL-00106,Thick Wool Blend Cape Coat,7,,409.21,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
1,G2IL-00001,Superdry Unisex 33 Bamboo Fiber Yoga Bag,1,Superdry,0.0,10,Enabled,"Catalog, Search",configurable,2024-01-01 00:00:00
2,G2IL-00001-001,Superdry Unisex 33 Bamboo Fiber Yoga Bag,7,Superdry,488.39,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
3,G2IL-00001-002,Superdry Unisex 33 Bamboo Fiber Slim-fit Bag,6,Superdry,384.28,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
4,G2IL-00001-003,Superdry Unisex 33 Bamboo Fiber Retro 50s Bag,6,Superdry,276.95,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
5,G2IL-00001-004,Superdry Unisex 33 Bamboo Fiber Business Casual Bag,4,Superdry,412.77,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
6,G2IL-00001-005,Superdry Unisex 33 Bamboo Fiber Down style Bag,5,Superdry,323.15,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
7,G2IL-00001-006,Superdry Unisex 44 Bamboo Fiber Yoga Bag,1,Superdry,22.21,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
8,G2IL-00001-007,Superdry Unisex 44 Bamboo Fiber Slim-fit Bag,4,Superdry,297.0,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
9,G2IL-00001-008,Superdry Unisex 44 Bamboo Fiber Retro 50s Bag,10,Superdry,62.98,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
10,G2IL-00001-009,Superdry Unisex 44 Bamboo Fiber Business Casual Bag,9,Superdry,253.67,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
11,G2IL-00001-010,Superdry Unisex 44 Bamboo Fiber Down style Bag,8,Superdry,498.58,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
12,G2IL-00001-011,Superdry Unisex 51 Bamboo Fiber Yoga Bag,6,Superdry,45.62,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
13,G2IL-00001-012,Superdry Unisex 51 Bamboo Fiber Slim-fit Bag,10,Superdry,285.17,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
14,G2IL-00001-013,Superdry Unisex 51 Bamboo Fiber Retro 50s Bag,10,Superdry,179.31,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
15,G2IL-00001-014,Superdry Unisex 51 Bamboo Fiber Business Casual Bag,8,Superdry,343.1,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
16,G2IL-00001-015,Superdry Unisex 51 Bamboo Fiber Down style Bag,6,Superdry,123.73,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
17,G2IL-00002,Givenchy Kid's 35 Cashmere Workwear Bag,10,Givenchy,0.0,10,Enabled,"Catalog, Search",configurable,2024-01-01 00:00:00
18,G2IL-00002-001,Givenchy Kid's 35 Cashmere Workwear Bag,2,Givenchy,147.93,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
19,G2IL-00002-002,Givenchy Kid's 35 Cashmere Clean Bag,1,Givenchy,490.21,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
20,G2IL-00002-003,Givenchy Kid's 35 Cashmere Business Casual Bag,3,Givenchy,250.61,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
21,G2IL-00002-004,Givenchy Kid's 35 Cashmere Kimono-style Bag,6,Givenchy,345.29,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
22,G2IL-00002-005,Givenchy Kid's 35 Cashmere Casual Bag,5,Givenchy,276.43,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
23,G2IL-00002-006,Givenchy Kid's 54 Cashmere Workwear Bag,8,Givenchy,89.7,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
24,G2IL-00002-007,Givenchy Kid's 54 Cashmere Clean Bag,5,Givenchy,230.15,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
25,G2IL-00002-008,Givenchy Kid's 54 Cashmere Business Casual Bag,8,Givenchy,333.01,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
26,G2IL-00002-009,Givenchy Kid's 54 Cashmere Kimono-style Bag,5,Givenchy,178.61,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
27,G2IL-00002-010,Givenchy Kid's 54 Cashmere Casual Bag,6,Givenchy,438.92,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
28,G2IL-00002-011,Givenchy Kid's 31 Cashmere Workwear Bag,5,Givenchy,213.31,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
29,G2IL-00002-012,Givenchy Kid's 31 Cashmere Clean Bag,3,Givenchy,479.3,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
30,G2IL-00002-013,Givenchy Kid's 31 Cashmere Business Casual Bag,9,Givenchy,393.83,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
31,G2IL-00002-014,Givenchy Kid's 31 Cashmere Kimono-style Bag,2,Givenchy,278.17,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
32,G2IL-00002-015,Givenchy Kid's 31 Cashmere Casual Bag,2,Givenchy,134.49,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
33,G2IL-00003,The North Face  59 Georgette Cozy Bag,4,The North Face,0.0,10,Enabled,"Catalog, Search",configurable,2024-01-01 00:00:00
34,G2IL-00003-001,The North Face  59 Georgette Cozy Bag,1,The North Face,314.3,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
35,G2IL-00003-002,The North Face  59 Georgette Red Carpet Bag,6,The North Face,112.92,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
36,G2IL-00003-003,The North Face  59 Georgette Grunge Bag,8,The North Face,373.2,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
37,G2IL-00003-004,The North Face  59 Georgette Contemporary Bag,2,The North Face,126.67,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
38,G2IL-00003-005,The North Face  59 Georgette Sustainable Bag,9,The North Face,337.88,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
39,G2IL-00003-006,The North Face  40 Georgette Cozy Bag,1,The North Face,99.13,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
40,G2IL-00003-007,The North Face  40 Georgette Red Carpet Bag,2,The North Face,84.42,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
41,G2IL-00003-008,The North Face  40 Georgette Grunge Bag,10,The North Face,254.54,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
42,G2IL-00003-009,The North Face  40 Georgette Contemporary Bag,5,The North Face,316.5,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
43,G2IL-00003-010,The North Face  40 Georgette Sustainable Bag,8,The North Face,486.13,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
44,G2IL-00003-011,The North Face  32 Georgette Cozy Bag,6,The North Face,173.93,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
45,G2IL-00003-012,The North Face  32 Georgette Red Carpet Bag,1,The North Face,29.66,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
46,G2IL-00003-013,The North Face  32 Georgette Grunge Bag,1,The North Face,174.1,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
47,G2IL-00003-014,The North Face  32 Georgette Contemporary Bag,8,The North Face,492.84,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
48,G2IL-00003-015,The North Face  32 Georgette Sustainable Bag,5,The North Face,337.34,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
49,G2IL-00004,Versace Men's 30 Lycra Folk Bag,7,Versace,0.0,10,Enabled,"Catalog, Search",configurable,2024-01-01 00:00:00
50,G2IL-00004-001,Versace Men's 30 Lycra Folk Bag,2,Versace,404.72,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
51,G2IL-00004-002,Versace Men's 30 Lycra Evening Bag,5,Versace,244.43,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
52,G2IL-00004-003,Versace Men's 30 Lycra Outdoor Bag,6,Versace,354.43,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
53,G2IL-00004-004,Versace Men's 30 Lycra Cozy Bag,4,Versace,123.82,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
54,G2IL-00004-005,Versace Men's 30 Lycra Loungewear Bag,9,Versace,49.55,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
55,G2IL-00004-006,Versace Men's 50 Lycra Folk Bag,2,Versace,309.31,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
56,G2IL-00004-007,Versace Men's 50 Lycra Evening Bag,10,Versace,290.33,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
57,G2IL-00004-008,Versace Men's 50 Lycra Outdoor Bag,2,Versace,95.74,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
58,G2IL-00004-009,Versace Men's 50 Lycra Cozy Bag,9,Versace,139.62,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
59,G2IL-00004-010,Versace Men's 50 Lycra Loungewear Bag,1,Versace,326.19,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
60,G2IL-00004-011,Versace Men's 52 Lycra Folk Bag,3,Versace,444.14,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
61,G2IL-00004-012,Versace Men's 52 Lycra Evening Bag,10,Versace,13.19,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
62,G2IL-00004-013,Versace Men's 52 Lycra Outdoor Bag,5,Versace,245.1,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
63,G2IL-00004-014,Versace Men's 52 Lycra Cozy Bag,1,Versace,260.43,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
64,G2IL-00004-015,Versace Men's 52 Lycra Loungewear Bag,6,Versace,16.94,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
65,G2IL-00005,Armani  43 Softshell Classic Bag,5,Armani,0.0,10,Enabled,"Catalog, Search",configurable,2024-01-01 00:00:00
66,G2IL-00005-001,Armani  43 Softshell Classic Bag,8,Armani,387.09,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
67,G2IL-00005-002,Armani  43 Softshell Luxury Bag,5,Armani,374.12,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
68,G2IL-00005-003,Armani  43 Softshell Skater Bag,1,Armani,466.31,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
69,G2IL-00005-004,Armani  43 Softshell Office Bag,7,Armani,449.87,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
70,G2IL-00005-005,Armani  43 Softshell Tailored Bag,6,Armani,141.09,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
71,G2IL-00005-006,Armani  48 Softshell Classic Bag,10,Armani,280.05,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
72,G2IL-00005-007,Armani  48 Softshell Luxury Bag,3,Armani,185.85,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
73,G2IL-00005-008,Armani  48 Softshell Skater Bag,1,Armani,168.89,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
74,G2IL-00005-009,Armani  48 Softshell Office Bag,1,Armani,367.79,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
75,G2IL-00005-010,Armani  48 Softshell Tailored Bag,1,Armani,479.61,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
76,G2IL-00005-011,Armani  54 Softshell Classic Bag,8,Armani,195.13,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
77,G2IL-00005-012,Armani  54 Softshell Luxury Bag,5,Armani,408.76,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
78,G2IL-00005-013,Armani  54 Softshell Skater Bag,4,Armani,136.64,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
79,G2IL-00005-014,Armani  54 Softshell Office Bag,7,Armani,258.72,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
80,G2IL-00005-015,Armani  54 Softshell Tailored Bag,5,Armani,26.24,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
81,G2IL-00006,Forever 21 Men's 39 Cord Minimalist Bag,7,Forever 21,0.0,10,Enabled,"Catalog, Search",configurable,2024-01-01 00:00:00
82,G2IL-00006-001,Forever 21 Men's 39 Cord Minimalist Bag,1,Forever 21,287.55,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
83,G2IL-00006-002,Forever 21 Men's 39 Cord Sari-style Bag,1,Forever 21,26.59,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
84,G2IL-00006-003,Forever 21 Men's 39 Cord Cashmere Bag,5,Forever 21,175.33,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
85,G2IL-00006-004,Forever 21 Men's 39 Cord Urban Bag,6,Forever 21,455.58,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
86,G2IL-00006-005,Forever 21 Men's 39 Cord Cozy Bag,2,Forever 21,261.58,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
87,G2IL-00006-006,Forever 21 Men's 50 Cord Minimalist Bag,5,Forever 21,335.39,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
88,G2IL-00006-007,Forever 21 Men's 50 Cord Sari-style Bag,9,Forever 21,225.54,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
89,G2IL-00006-008,Forever 21 Men's 50 Cord Cashmere Bag,8,Forever 21,245.17,10,Enabled,Not Visible Individually,simple,2024-01-01 00:00:00
