id,product_id,warehouse_id,warehouse_name,stock_status,stock_quantity
64,33,3,West Coast Distribution Center,In Stock,907
65,34,2,East Coast Distribution Center,Out of Stock,0
66,35,1,Main Warehouse,In Stock,871
67,35,3,West Coast Distribution Center,Out of Stock,0
68,36,2,East Coast Distribution Center,Low Stock,3
69,37,2,East Coast Distribution Center,Out of Stock,0
70,37,3,West Coast Distribution Center,Out of Stock,0
71,37,1,Main Warehouse,Out of Stock,0
72,38,2,East Coast Distribution Center,In Stock,147
73,38,3,West Coast Distribution Center,Low Stock,2
74,38,1,Main Warehouse,In Stock,450
75,39,2,East Coast Distribution Center,Low Stock,1
76,39,1,Main Warehouse,In Stock,807
77,40,2,East Coast Distribution Center,In Stock,65
78,40,3,West Coast Distribution Center,Out of Stock,0
79,41,2,East Coast Distribution Center,Out of Stock,0
80,41,3,West Coast Distribution Center,Out of Stock,0
81,42,1,Main Warehouse,Out of Stock,0
82,42,3,West Coast Distribution Center,Low Stock,2
83,43,1,Main Warehouse,Out of Stock,0
84,44,1,Main Warehouse,Out of Stock,0
85,45,3,West Coast Distribution Center,Out of Stock,0
86,46,2,East Coast Distribution Center,Out of Stock,0
87,46,1,Main Warehouse,Out of Stock,0
88,47,2,East Coast Distribution Center,In Stock,75
89,47,1,Main Warehouse,In Stock,874
90,47,3,West Coast Distribution Center,Out of Stock,0
91,48,2,East Coast Distribution Center,Low Stock,5
92,48,3,West Coast Distribution Center,In Stock,130
93,49,2,East Coast Distribution Center,In Stock,238
94,49,3,West Coast Distribution Center,In Stock,888
95,49,1,Main Warehouse,In Stock,916
96,50,1,Main Warehouse,In Stock,294
97,51,1,Main Warehouse,In Stock,254
98,52,3,West Coast Distribution Center,In Stock,338
99,52,1,Main Warehouse,In Stock,987
100,53,2,East Coast Distribution Center,Low Stock,1
101,54,3,West Coast Distribution Center,Out of Stock,0
102,54,1,Main Warehouse,Out of Stock,0
103,54,2,East Coast Distribution Center,Out of Stock,0
104,55,3,West Coast Distribution Center,Out of Stock,0
105,56,3,West Coast Distribution Center,Out of Stock,0
106,56,1,Main Warehouse,Low Stock,9
107,56,2,East Coast Distribution Center,Low Stock,6
108,57,1,Main Warehouse,Out of Stock,0
109,57,3,West Coast Distribution Center,Low Stock,10
110,57,2,East Coast Distribution Center,Out of Stock,0
111,58,1,Main Warehouse,In Stock,504
112,59,1,Main Warehouse,Low Stock,5
113,60,3,West Coast Distribution Center,Out of Stock,0
114,60,2,East Coast Distribution Center,Out of Stock,0
115,60,1,Main Warehouse,In Stock,805
116,61,2,East Coast Distribution Center,In Stock,612
117,62,1,Main Warehouse,In Stock,637
118,62,2,East Coast Distribution Center,In Stock,884
119,63,2,East Coast Distribution Center,Out of Stock,0
120,64,1,Main Warehouse,Out of Stock,0
121,64,2,East Coast Distribution Center,Out of Stock,0
122,64,3,West Coast Distribution Center,In Stock,180
123,65,1,Main Warehouse,Out of Stock,0
124,65,3,West Coast Distribution Center,In Stock,514
125,65,2,East Coast Distribution Center,Out of Stock,0
126,66,3,West Coast Distribution Center,Low Stock,7
127,66,2,East Coast Distribution Center,Out of Stock,0
128,66,1,Main Warehouse,Low Stock,4
129,67,1,Main Warehouse,Low Stock,6
130,67,3,West Coast Distribution Center,Low Stock,7
131,67,2,East Coast Distribution Center,In Stock,166
132,68,2,East Coast Distribution Center,In Stock,859
133,69,3,West Coast Distribution Center,In Stock,466
134,69,2,East Coast Distribution Center,In Stock,704
135,70,2,East Coast Distribution Center,In Stock,826
136,70,1,Main Warehouse,Low Stock,4
137,71,1,Main Warehouse,Out of Stock,0
138,71,3,West Coast Distribution Center,In Stock,90
139,71,2,East Coast Distribution Center,Low Stock,7
140,72,1,Main Warehouse,Out of Stock,0
141,73,1,Main Warehouse,Out of Stock,0
142,74,3,West Coast Distribution Center,Low Stock,3
143,74,2,East Coast Distribution Center,In Stock,470
144,75,3,West Coast Distribution Center,In Stock,113
145,75,2,East Coast Distribution Center,Out of Stock,0
146,75,1,Main Warehouse,Out of Stock,0
147,76,2,East Coast Distribution Center,Low Stock,7
148,76,1,Main Warehouse,In Stock,600
149,76,3,West Coast Distribution Center,In Stock,388
150,77,3,West Coast Distribution Center,In Stock,318
151,77,1,Main Warehouse,Out of Stock,0
152,78,1,Main Warehouse,Low Stock,10
153,78,2,East Coast Distribution Center,Out of Stock,0
154,79,2,East Coast Distribution Center,Out of Stock,0
155,80,2,East Coast Distribution Center,In Stock,910
156,80,1,Main Warehouse,Out of Stock,0
157,81,3,West Coast Distribution Center,Low Stock,7
158,82,1,Main Warehouse,In Stock,977
159,82,2,East Coast Distribution Center,Out of Stock,0
160,83,3,West Coast Distribution Center,In Stock,902
161,84,2,East Coast Distribution Center,Out of Stock,0
162,84,1,Main Warehouse,Low Stock,5
163,85,2,East Coast Distribution Center,In Stock,384
164,85,3,West Coast Distribution Center,In Stock,707
165,85,1,Main Warehouse,Out of Stock,0
166,86,3,West Coast Distribution Center,Low Stock,6
167,86,2,East Coast Distribution Center,Low Stock,9
168,87,2,East Coast Distribution Center,Low Stock,7
169,88,3,West Coast Distribution Center,Out of Stock,0
170,88,2,East Coast Distribution Center,Out of Stock,0
171,89,3,West Coast Distribution Center,In Stock,434
172,89,2,East Coast Distribution Center,In Stock,360
173,90,3,West Coast Distribution Center,Low Stock,2
174,91,2,East Coast Distribution Center,Low Stock,10
175,91,3,West Coast Distribution Center,Low Stock,6
176,92,3,West Coast Distribution Center,Low Stock,6
177,93,1,Main Warehouse,In Stock,455
178,93,2,East Coast Distribution Center,In Stock,674
179,94,1,Main Warehouse,Low Stock,10
180,94,2,East Coast Distribution Center,Out of Stock,0
181,95,2,East Coast Distribution Center,In Stock,214
182,95,3,West Coast Distribution Center,Out of Stock,0
183,95,1,Main Warehouse,Low Stock,5
184,96,3,West Coast Distribution Center,Low Stock,3
185,96,2,East Coast Distribution Center,Out of Stock,0
186,96,1,Main Warehouse,In Stock,461
187,97,1,Main Warehouse,Out of Stock,0
188,98,2,East Coast Distribution Center,In Stock,683
189,99,2,East Coast Distribution Center,Low Stock,4
190,99,3,West Coast Distribution Center,Out of Stock,0
191,99,1,Main Warehouse,Low Stock,2
192,100,1,Main Warehouse,Out of Stock,0
193,100,2,East Coast Distribution Center,In Stock,367
194,101,2,East Coast Distribution Center,Out of Stock,0
195,101,1,Main Warehouse,Out of Stock,0
196,102,2,East Coast Distribution Center,Low Stock,5
197,103,3,West Coast Distribution Center,Out of Stock,0
198,103,2,East Coast Distribution Center,In Stock,525
199,104,1,Main Warehouse,In Stock,341
200,104,3,West Coast Distribution Center,Low Stock,8
201,104,2,East Coast Distribution Center,Out of Stock,0
202,105,3,West Coast Distribution Center,Low Stock,4
203,105,1,Main Warehouse,In Stock,699
204,105,2,East Coast Distribution Center,Low Stock,7
205,106,2,East Coast Distribution Center,In Stock,611
206,1,2,East Coast Distribution Center,In Stock,809
207,1,1,Main Warehouse,In Stock,916
208,2,2,East Coast Distribution Center,Low Stock,7
209,2,3,West Coast Distribution Center,In Stock,325
210,3,1,Main Warehouse,Low Stock,10
211,3,2,East Coast Distribution Center,Low Stock,8
212,3,3,West Coast Distribution Center,Low Stock,3
213,4,2,East Coast Distribution Center,Low Stock,9
214,4,1,Main Warehouse,Low Stock,4
215,5,2,East Coast Distribution Center,In Stock,118
216,5,3,West Coast Distribution Center,In Stock,286
217,6,2,East Coast Distribution Center,Low Stock,10
218,6,1,Main Warehouse,Out of Stock,0
219,6,3,West Coast Distribution Center,Low Stock,8
220,7,2,East Coast Distribution Center,Low Stock,8
221,7,3,West Coast Distribution Center,Out of Stock,0
222,8,1,Main Warehouse,In Stock,389
223,8,2,East Coast Distribution Center,Out of Stock,0
224,8,3,West Coast Distribution Center,Out of Stock,0
225,9,2,East Coast Distribution Center,Out of Stock,0
226,9,3,West Coast Distribution Center,Low Stock,5
227,9,1,Main Warehouse,Low Stock,8
228,10,3,West Coast Distribution Center,Out of Stock,0
229,11,2,East Coast Distribution Center,In Stock,913
230,11,1,Main Warehouse,In Stock,372
231,11,3,West Coast Distribution Center,In Stock,729
232,12,3,West Coast Distribution Center,Low Stock,7
233,12,1,Main Warehouse,In Stock,859
234,13,1,Main Warehouse,In Stock,211
235,13,3,West Coast Distribution Center,In Stock,125
236,13,2,East Coast Distribution Center,In Stock,890
237,14,2,East Coast Distribution Center,In Stock,650
238,14,3,West Coast Distribution Center,In Stock,931
239,14,1,Main Warehouse,Low Stock,6
240,15,3,West Coast Distribution Center,Out of Stock,0
241,16,1,Main Warehouse,Low Stock,1
242,16,3,West Coast Distribution Center,Low Stock,5
243,16,2,East Coast Distribution Center,Low Stock,5
244,17,1,Main Warehouse,Low Stock,2
245,18,3,West Coast Distribution Center,In Stock,365
246,18,1,Main Warehouse,Out of Stock,0
247,18,2,East Coast Distribution Center,In Stock,841
248,19,2,East Coast Distribution Center,Low Stock,1
249,19,3,West Coast Distribution Center,Low Stock,4
250,20,2,East Coast Distribution Center,Low Stock,4
251,21,2,East Coast Distribution Center,Out of Stock,0
252,21,3,West Coast Distribution Center,Low Stock,10
253,21,1,Main Warehouse,Low Stock,5
254,22,2,East Coast Distribution Center,In Stock,790
255,22,3,West Coast Distribution Center,In Stock,656
256,22,1,Main Warehouse,In Stock,808
257,23,3,West Coast Distribution Center,Out of Stock,0
258,24,3,West Coast Distribution Center,Out of Stock,0
259,24,1,Main Warehouse,In Stock,961
260,24,2,East Coast Distribution Center,Low Stock,4
261,25,1,Main Warehouse,Out of Stock,0
262,25,2,East Coast Distribution Center,Low Stock,5
263,25,3,West Coast Distribution Center,Low Stock,7
264,26,3,West Coast Distribution Center,Low Stock,8
265,26,2,East Coast Distribution Center,Low Stock,7
266,27,1,Main Warehouse,In Stock,168
267,28,3,West Coast Distribution Center,In Stock,505
268,29,3,West Coast Distribution Center,Out of Stock,0
269,29,2,East Coast Distribution Center,Low Stock,2
270,30,3,West Coast Distribution Center,Low Stock,3
271,31,1,Main Warehouse,Low Stock,2
272,32,2,East Coast Distribution Center,In Stock,777
273,32,3,West Coast Distribution Center,Low Stock,10
274,32,1,Main Warehouse,Out of Stock,0
275,33,3,West Coast Distribution Center,Low Stock,7
276,33,1,Main Warehouse,Low Stock,3
277,33,2,East Coast Distribution Center,In Stock,702
278,34,3,West Coast Distribution Center,Low Stock,1
279,34,2,East Coast Distribution Center,Low Stock,5
280,35,2,East Coast Distribution Center,Out of Stock,0
281,35,1,Main Warehouse,Low Stock,3
282,36,1,Main Warehouse,Low Stock,1
283,36,2,East Coast Distribution Center,Low Stock,4
284,37,2,East Coast Distribution Center,Out of Stock,0
285,37,3,West Coast Distribution Center,Low Stock,9
286,37,1,Main Warehouse,Out of Stock,0
287,38,1,Main Warehouse,Out of Stock,0
288,39,3,West Coast Distribution Center,Out of Stock,0
289,39,2,East Coast Distribution Center,Low Stock,7
290,40,1,Main Warehouse,Low Stock,8
291,40,3,West Coast Distribution Center,Low Stock,4
292,41,2,East Coast Distribution Center,Low Stock,10
293,41,1,Main Warehouse,Low Stock,10
294,42,3,West Coast Distribution Center,Out of Stock,0
295,43,2,East Coast Distribution Center,Out of Stock,0
296,44,1,Main Warehouse,In Stock,271
297,44,3,West Coast Distribution Center,In Stock,257
298,44,2,East Coast Distribution Center,Out of Stock,0
299,45,3,West Coast Distribution Center,Low Stock,4
300,45,2,East Coast Distribution Center,In Stock,973
301,45,1,Main Warehouse,In Stock,95
302,46,3,West Coast Distribution Center,Out of Stock,0
303,46,2,East Coast Distribution Center,Low Stock,4
304,46,1,Main Warehouse,Out of Stock,0
305,47,2,East Coast Distribution Center,Out of Stock,0
306,47,1,Main Warehouse,In Stock,486
307,47,3,West Coast Distribution Center,In Stock,867
308,48,2,East Coast Distribution Center,Low Stock,3
309,48,1,Main Warehouse,In Stock,711
310,49,1,Main Warehouse,Low Stock,2
311,50,3,West Coast Distribution Center,In Stock,625
312,50,2,East Coast Distribution Center,In Stock,841
313,50,1,Main Warehouse,Low Stock,1
314,51,3,West Coast Distribution Center,In Stock,714
315,52,3,West Coast Distribution Center,In Stock,253
316,52,1,Main Warehouse,In Stock,74
317,52,2,East Coast Distribution Center,In Stock,753
318,53,1,Main Warehouse,Out of Stock,0
319,53,2,East Coast Distribution Center,Out of Stock,0
320,54,2,East Coast Distribution Center,Low Stock,1
321,54,1,Main Warehouse,Low Stock,6
322,54,3,West Coast Distribution Center,Out of Stock,0
323,55,3,West Coast Distribution Center,In Stock,310
324,56,1,Main Warehouse,Low Stock,5
325,56,3,West Coast Distribution Center,Low Stock,10
326,56,2,East Coast Distribution Center,Out of Stock,0
327,57,1,Main Warehouse,Out of Stock,0
328,57,2,East Coast Distribution Center,In Stock,386
329,57,3,West Coast Distribution Center,Out of Stock,0
330,58,1,Main Warehouse,Low Stock,4
331,58,2,East Coast Distribution Center,Out of Stock,0
332,58,3,West Coast Distribution Center,In Stock,698
333,59,2,East Coast Distribution Center,Out of Stock,0
334,59,3,West Coast Distribution Center,In Stock,286
335,59,1,Main Warehouse,In Stock,73
336,60,3,West Coast Distribution Center,Low Stock,4
337,60,2,East Coast Distribution Center,Low Stock,5
338,60,1,Main Warehouse,Out of Stock,0
339,61,1,Main Warehouse,In Stock,363
340,62,2,East Coast Distribution Center,Low Stock,10
341,63,2,East Coast Distribution Center,In Stock,873
342,63,3,West Coast Distribution Center,Out of Stock,0
343,63,1,Main Warehouse,Low Stock,10
344,64,2,East Coast Distribution Center,Low Stock,10
345,64,3,West Coast Distribution Center,Out of Stock,0
346,64,1,Main Warehouse,Low Stock,10
347,65,1,Main Warehouse,In Stock,772
348,65,3,West Coast Distribution Center,Out of Stock,0
349,66,3,West Coast Distribution Center,In Stock,166
350,66,1,Main Warehouse,Out of Stock,0
351,67,2,East Coast Distribution Center,Out of Stock,0
352,68,2,East Coast Distribution Center,Low Stock,8
353,68,3,West Coast Distribution Center,Out of Stock,0
354,68,1,Main Warehouse,Low Stock,6
355,69,2,East Coast Distribution Center,In Stock,445
356,69,3,West Coast Distribution Center,Out of Stock,0
357,70,3,West Coast Distribution Center,Low Stock,2
358,70,1,Main Warehouse,Out of Stock,0
359,71,3,West Coast Distribution Center,Out of Stock,0
360,72,3,West Coast Distribution Center,In Stock,139
361,72,2,East Coast Distribution Center,In Stock,589
362,73,1,Main Warehouse,Low Stock,10
363,74,2,East Coast Distribution Center,Out of Stock,0
364,75,3,West Coast Distribution Center,In Stock,811
365,76,2,East Coast Distribution Center,Low Stock,2
366,76,1,Main Warehouse,In Stock,332
367,77,1,Main Warehouse,In Stock,616
368,78,2,East Coast Distribution Center,Low Stock,2
369,78,3,West Coast Distribution Center,Out of Stock,0
370,78,1,Main Warehouse,Out of Stock,0
371,79,2,East Coast Distribution Center,Low Stock,8
372,80,2,East Coast Distribution Center,Out of Stock,0
373,80,1,Main Warehouse,Low Stock,10
374,80,3,West Coast Distribution Center,Out of Stock,0
375,81,3,West Coast Distribution Center,In Stock,976
376,81,2,East Coast Distribution Center,Low Stock,2
377,82,1,Main Warehouse,Out of Stock,0
378,82,3,West Coast Distribution Center,Out of Stock,0
379,83,1,Main Warehouse,In Stock,293
380,83,3,West Coast Distribution Center,In Stock,990
381,84,3,West Coast Distribution Center,Out of Stock,0
382,84,2,East Coast Distribution Center,Out of Stock,0
383,85,3,West Coast Distribution Center,Out of Stock,0
384,86,1,Main Warehouse,Low Stock,5
385,86,2,East Coast Distribution Center,Low Stock,5
386,86,3,West Coast Distribution Center,In Stock,755
387,87,2,East Coast Distribution Center,Low Stock,7
388,88,3,West Coast Distribution Center,Low Stock,1
389,88,2,East Coast Distribution Center,In Stock,53
390,88,1,Main Warehouse,In Stock,593
391,89,3,West Coast Distribution Center,Out of Stock,0
392,89,2,East Coast Distribution Center,In Stock,558
393,89,1,Main Warehouse,Low Stock,9
394,90,3,West Coast Distribution Center,Out of Stock,0
395,90,1,Main Warehouse,Out of Stock,0
396,90,2,East Coast Distribution Center,Low Stock,2
397,91,2,East Coast Distribution Center,Low Stock,10
398,91,1,Main Warehouse,Low Stock,9
399,92,1,Main Warehouse,Out of Stock,0
400,92,3,West Coast Distribution Center,Out of Stock,0
401,93,1,Main Warehouse,In Stock,446
402,93,2,East Coast Distribution Center,In Stock,466
403,94,3,West Coast Distribution Center,Low Stock,4
404,94,1,Main Warehouse,Low Stock,5
405,94,2,East Coast Distribution Center,Out of Stock,0
406,95,1,Main Warehouse,In Stock,623
407,95,2,East Coast Distribution Center,Out of Stock,0
408,96,2,East Coast Distribution Center,Low Stock,4
409,97,1,Main Warehouse,Low Stock,6
410,97,2,East Coast Distribution Center,Low Stock,3
411,98,2,East Coast Distribution Center,Low Stock,3
412,99,3,West Coast Distribution Center,Low Stock,5
413,99,1,Main Warehouse,Low Stock,8
414,100,3,West Coast Distribution Center,Low Stock,1
415,101,3,West Coast Distribution Center,Out of Stock,0
416,101,1,Main Warehouse,In Stock,638
417,102,3,West Coast Distribution Center,Low Stock,2
418,102,2,East Coast Distribution Center,Low Stock,6
419,102,1,Main Warehouse,Out of Stock,0
420,103,3,West Coast Distribution Center,In Stock,424
421,103,1,Main Warehouse,Out of Stock,0
422,104,3,West Coast Distribution Center,In Stock,64
423,105,2,East Coast Distribution Center,Low Stock,10
424,106,3,West Coast Distribution Center,Low Stock,10
425,106,1,Main Warehouse,Out of Stock,0
426,106,2,East Coast Distribution Center,Low Stock,2
427,107,2,East Coast Distribution Center,Out of Stock,0
428,107,1,Main Warehouse,In Stock,721
429,107,3,West Coast Distribution Center,Out of Stock,0
430,108,1,Main Warehouse,Low Stock,3
431,108,2,East Coast Distribution Center,Out of Stock,0
432,109,2,East Coast Distribution Center,In Stock,489
433,110,1,Main Warehouse,Out of Stock,0
434,110,3,West Coast Distribution Center,Out of Stock,0
435,111,1,Main Warehouse,Low Stock,1
436,111,2,East Coast Distribution Center,Out of Stock,0
437,112,1,Main Warehouse,Out of Stock,0
438,112,3,West Coast Distribution Center,Low Stock,1
439,112,2,East Coast Distribution Center,Low Stock,6
440,113,1,Main Warehouse,Out of Stock,0
441,113,2,East Coast Distribution Center,Low Stock,6
442,113,3,West Coast Distribution Center,Low Stock,8
443,114,3,West Coast Distribution Center,Low Stock,9
444,114,1,Main Warehouse,Low Stock,10
445,114,2,East Coast Distribution Center,Low Stock,8
446,115,2,East Coast Distribution Center,Out of Stock,0
447,115,3,West Coast Distribution Center,Low Stock,2
448,115,1,Main Warehouse,In Stock,647
449,116,2,East Coast Distribution Center,In Stock,284
450,116,3,West Coast Distribution Center,In Stock,630
451,117,1,Main Warehouse,Low Stock,1
452,118,3,West Coast Distribution Center,Low Stock,8
453,118,2,East Coast Distribution Center,Low Stock,10
454,119,1,Main Warehouse,In Stock,893
455,119,3,West Coast Distribution Center,Out of Stock,0
456,119,2,East Coast Distribution Center,Low Stock,5
457,120,1,Main Warehouse,In Stock,92
458,120,3,West Coast Distribution Center,Low Stock,2
459,121,3,West Coast Distribution Center,Out of Stock,0
460,121,2,East Coast Distribution Center,Out of Stock,0
461,122,2,East Coast Distribution Center,In Stock,842
462,122,1,Main Warehouse,Low Stock,8
463,123,1,Main Warehouse,Out of Stock,0
464,123,3,West Coast Distribution Center,In Stock,354
465,123,2,East Coast Distribution Center,In Stock,731
466,124,3,West Coast Distribution Center,In Stock,492
467,124,1,Main Warehouse,Low Stock,10
468,124,2,East Coast Distribution Center,In Stock,518
469,125,2,East Coast Distribution Center,Low Stock,7
470,125,1,Main Warehouse,Low Stock,4
471,125,3,West Coast Distribution Center,Low Stock,7
472,126,2,East Coast Distribution Center,In Stock,282
473,127,3,West Coast Distribution Center,Out of Stock,0
474,127,1,Main Warehouse,Low Stock,1
475,127,2,East Coast Distribution Center,Out of Stock,0
476,128,1,Main Warehouse,In Stock,594
477,128,2,East Coast Distribution Center,Out of Stock,0
478,129,2,East Coast Distribution Center,In Stock,271
479,130,2,East Coast Distribution Center,Low Stock,7
480,130,1,Main Warehouse,Low Stock,7
481,131,1,Main Warehouse,Low Stock,10
482,132,1,Main Warehouse,Low Stock,5
483,132,2,East Coast Distribution Center,In Stock,297
484,132,3,West Coast Distribution Center,Out of Stock,0
485,133,2,East Coast Distribution Center,Out of Stock,0
486,133,3,West Coast Distribution Center,Low Stock,1
487,134,2,East Coast Distribution Center,In Stock,115
488,134,3,West Coast Distribution Center,In Stock,230
489,135,3,West Coast Distribution Center,Low Stock,9
490,135,2,East Coast Distribution Center,In Stock,744
491,135,1,Main Warehouse,Low Stock,2
492,136,2,East Coast Distribution Center,In Stock,63
493,137,1,Main Warehouse,In Stock,788
494,138,1,Main Warehouse,Out of Stock,0
495,138,3,West Coast Distribution Center,Out of Stock,0
496,139,2,East Coast Distribution Center,In Stock,558
497,140,2,East Coast Distribution Center,Low Stock,10
498,141,2,East Coast Distribution Center,Out of Stock,0
499,141,1,Main Warehouse,Low Stock,7
500,142,3,West Coast Distribution Center,In Stock,125
501,142,1,Main Warehouse,Out of Stock,0
502,142,2,East Coast Distribution Center,Low Stock,1
503,143,3,West Coast Distribution Center,Low Stock,10
504,143,1,Main Warehouse,Low Stock,7
505,143,2,East Coast Distribution Center,Low Stock,9
506,144,1,Main Warehouse,Out of Stock,0
507,144,3,West Coast Distribution Center,Low Stock,8
508,145,2,East Coast Distribution Center,Out of Stock,0
509,145,1,Main Warehouse,Out of Stock,0
510,146,3,West Coast Distribution Center,In Stock,830
511,146,1,Main Warehouse,Out of Stock,0
512,146,2,East Coast Distribution Center,In Stock,912
513,147,1,Main Warehouse,Low Stock,7
514,147,2,East Coast Distribution Center,Out of Stock,0
515,148,2,East Coast Distribution Center,In Stock,241
516,148,3,West Coast Distribution Center,Out of Stock,0
517,148,1,Main Warehouse,Low Stock,3
518,149,2,East Coast Distribution Center,Out of Stock,0
519,150,3,West Coast Distribution Center,Low Stock,7
520,151,2,East Coast Distribution Center,In Stock,828
521,151,3,West Coast Distribution Center,Low Stock,9
522,151,1,Main Warehouse,In Stock,484
523,152,1,Main Warehouse,Low Stock,2
524,152,2,East Coast Distribution Center,In Stock,481
525,152,3,West Coast Distribution Center,Out of Stock,0
526,153,3,West Coast Distribution Center,In Stock,916
527,154,3,West Coast Distribution Center,Out of Stock,0
528,155,2,East Coast Distribution Center,Low Stock,3
529,155,1,Main Warehouse,Low Stock,7
530,155,3,West Coast Distribution Center,Out of Stock,0
531,156,3,West Coast Distribution Center,Low Stock,3
532,156,1,Main Warehouse,In Stock,134
533,157,1,Main Warehouse,Out of Stock,0
534,158,2,East Coast Distribution Center,Low Stock,1
535,158,3,West Coast Distribution Center,Low Stock,2
536,159,3,West Coast Distribution Center,In Stock,703
537,159,1,Main Warehouse,Low Stock,6
538,160,3,West Coast Distribution Center,Out of Stock,0
539,160,1,Main Warehouse,Out of Stock,0
540,160,2,East Coast Distribution Center,Low Stock,7
541,161,1,Main Warehouse,In Stock,706
542,161,2,East Coast Distribution Center,Low Stock,3
543,162,3,West Coast Distribution Center,In Stock,931
544,162,2,East Coast Distribution Center,In Stock,782
545,163,2,East Coast Distribution Center,Out of Stock,0
546,163,1,Main Warehouse,Low Stock,10
547,164,1,Main Warehouse,In Stock,226
548,164,2,East Coast Distribution Center,In Stock,434
549,165,2,East Coast Distribution Center,Low Stock,3
550,165,1,Main Warehouse,Low Stock,3
551,165,3,West Coast Distribution Center,In Stock,293
552,166,3,West Coast Distribution Center,Out of Stock,0
553,166,2,East Coast Distribution Center,Low Stock,9
554,167,2,East Coast Distribution Center,Out of Stock,0
555,167,1,Main Warehouse,Out of Stock,0
556,167,3,West Coast Distribution Center,Out of Stock,0
557,168,1,Main Warehouse,Low Stock,4
558,168,2,East Coast Distribution Center,Out of Stock,0
559,168,3,West Coast Distribution Center,In Stock,795
560,169,1,Main Warehouse,Out of Stock,0
561,169,2,East Coast Distribution Center,In Stock,160
562,170,3,West Coast Distribution Center,In Stock,551
563,170,1,Main Warehouse,Out of Stock,0
564,171,3,West Coast Distribution Center,Low Stock,6
565,171,2,East Coast Distribution Center,Low Stock,2
566,172,3,West Coast Distribution Center,In Stock,760
567,172,2,East Coast Distribution Center,Out of Stock,0
568,173,2,East Coast Distribution Center,In Stock,361
569,173,3,West Coast Distribution Center,Out of Stock,0
570,174,2,East Coast Distribution Center,Low Stock,3
571,174,1,Main Warehouse,In Stock,668
572,175,3,West Coast Distribution Center,Out of Stock,0
573,175,1,Main Warehouse,Low Stock,8
574,176,1,Main Warehouse,In Stock,508
575,177,3,West Coast Distribution Center,In Stock,792
576,178,2,East Coast Distribution Center,Low Stock,1
577,179,2,East Coast Distribution Center,Low Stock,8
578,179,1,Main Warehouse,Out of Stock,0
579,179,3,West Coast Distribution Center,In Stock,232
