sku,name,brand,price,visibility,status,type,parent_sku
GIL-00095,Structured Canvas Everyday Tote Bag,,40.3,1,1,simple,
GIL-00096,Eco-Friendly Reusable Cotton Tote Bag,,431.0,1,1,simple,
GIL-00097,Classic Blue Denim Overalls,,307.84,1,1,simple,
GIL-00098,Short-Sleeve Casual Summer Romper,,406.28,1,1,simple,
GIL-00099,Elegant Wide-Leg Jumpsuit,,289.08,1,1,simple,
GIL-00100,Tailored Business Casual Blazer Jacket,,399.12,1,1,simple,
GIL-00101,Formal Buttoned Suit Waistcoat,,326.83,1,1,simple,
GIL-00102,Relaxed-Fit Long Shirt Dress,,393.87,1,1,simple,
GIL-00103,Silk Kimono-Style Home Robe,,446.43,1,1,simple,
GIL-00104,Bohemian Printed Caftan Dress,,304.48,1,1,simple,
GIL-00105,Wool Knit Fringe Poncho,,229.63,1,1,simple,
GIL-00106,Thick Wool Blend Cape Coat,,274.32,1,1,simple,
G2IL-00001,Moncler Kid's 49 Poplin Evening Wear Bag,Moncler,,1,1,configurable,
G2IL-00001-001,Moncler Kid's 49 Poplin Evening Wear Bag,Moncler,108.64,0,1,simple,G2IL-00001
G2IL-00001-002,Moncler Kid's 49 Poplin Minimalist Bag,Moncler,137.6,0,1,simple,G2IL-00001
G2IL-00001-003,Moncler Kid's 49 Poplin Running Bag,Moncler,141.87,0,1,simple,G2IL-00001
G2IL-00001-004,Moncler Kid's 49 Poplin Youth Bag,Moncler,130.32,0,1,simple,G2IL-00001
G2IL-00001-005,Moncler Kid's 49 Poplin Sleepwear Bag,Moncler,308.21,0,1,simple,G2IL-00001
G2IL-00001-006,Moncler Kid's 57 Poplin Evening Wear Bag,Moncler,469.06,0,1,simple,G2IL-00001
G2IL-00001-007,Moncler Kid's 57 Poplin Minimalist Bag,Moncler,155.8,0,1,simple,G2IL-00001
G2IL-00001-008,Moncler Kid's 57 Poplin Running Bag,Moncler,233.94,0,1,simple,G2IL-00001
G2IL-00001-009,Moncler Kid's 57 Poplin Youth Bag,Moncler,335.38,0,1,simple,G2IL-00001
G2IL-00001-010,Moncler Kid's 57 Poplin Sleepwear Bag,Moncler,229.11,0,1,simple,G2IL-00001
G2IL-00001-011,Moncler Kid's 50 Poplin Evening Wear Bag,Moncler,498.39,0,1,simple,G2IL-00001
G2IL-00001-012,Moncler Kid's 50 Poplin Minimalist Bag,Moncler,222.38,0,1,simple,G2IL-00001
G2IL-00001-013,Moncler Kid's 50 Poplin Running Bag,Moncler,47.84,0,1,simple,G2IL-00001
G2IL-00001-014,Moncler Kid's 50 Poplin Youth Bag,Moncler,282.92,0,1,simple,G2IL-00001
G2IL-00001-015,Moncler Kid's 50 Poplin Sleepwear Bag,Moncler,360.59,0,1,simple,G2IL-00001
G2IL-00002,Balmain Kid's 46 Rayon Festival Bag,Balmain,,1,1,configurable,
G2IL-00002-001,Balmain Kid's 46 Rayon Festival Bag,Balmain,232.97,0,1,simple,G2IL-00002
G2IL-00002-002,Balmain Kid's 46 Rayon Corporate Bag,Balmain,360.01,0,1,simple,G2IL-00002
G2IL-00002-003,Balmain Kid's 46 Rayon Down style Bag,Balmain,440.07,0,1,simple,G2IL-00002
G2IL-00002-004,Balmain Kid's 46 Rayon Contemporary Bag,Balmain,216.97,0,1,simple,G2IL-00002
G2IL-00002-005,Balmain Kid's 46 Rayon Rainwear Bag,Balmain,148.57,0,1,simple,G2IL-00002
G2IL-00002-006,Balmain Kid's 43 Rayon Festival Bag,Balmain,16.94,0,1,simple,G2IL-00002
G2IL-00002-007,Balmain Kid's 43 Rayon Corporate Bag,Balmain,221.9,0,1,simple,G2IL-00002
G2IL-00002-008,Balmain Kid's 43 Rayon Down style Bag,Balmain,70.8,0,1,simple,G2IL-00002
G2IL-00002-009,Balmain Kid's 43 Rayon Contemporary Bag,Balmain,393.68,0,1,simple,G2IL-00002
G2IL-00002-010,Balmain Kid's 43 Rayon Rainwear Bag,Balmain,389.01,0,1,simple,G2IL-00002
G2IL-00002-011,Balmain Kid's 38 Rayon Festival Bag,Balmain,71.77,0,1,simple,G2IL-00002
G2IL-00002-012,Balmain Kid's 38 Rayon Corporate Bag,Balmain,458.26,0,1,simple,G2IL-00002
G2IL-00002-013,Balmain Kid's 38 Rayon Down style Bag,Balmain,298.84,0,1,simple,G2IL-00002
G2IL-00002-014,Balmain Kid's 38 Rayon Contemporary Bag,Balmain,239.81,0,1,simple,G2IL-00002
G2IL-00002-015,Balmain Kid's 38 Rayon Rainwear Bag,Balmain,351.28,0,1,simple,G2IL-00002
G2IL-00003,Furla  31 Down Statement Bag,Furla,,1,1,configurable,
G2IL-00003-001,Furla  31 Down Statement Bag,Furla,485.68,0,1,simple,G2IL-00003
G2IL-00003-002,Furla  31 Down Boho Bag,Furla,458.45,0,1,simple,G2IL-00003
G2IL-00003-003,Furla  31 Down Sleepwear Bag,Furla,203.47,0,1,simple,G2IL-00003
G2IL-00003-004,Furla  31 Down Cashmere Bag,Furla,486.01,0,1,simple,G2IL-00003
G2IL-00003-005,Furla  31 Down Layered Bag,Furla,462.52,0,1,simple,G2IL-00003
G2IL-00003-006,Furla  46 Down Statement Bag,Furla,290.84,0,1,simple,G2IL-00003
G2IL-00003-007,Furla  46 Down Boho Bag,Furla,252.47,0,1,simple,G2IL-00003
G2IL-00003-008,Furla  46 Down Sleepwear Bag,Furla,139.58,0,1,simple,G2IL-00003
G2IL-00003-009,Furla  46 Down Cashmere Bag,Furla,153.24,0,1,simple,G2IL-00003
G2IL-00003-010,Furla  46 Down Layered Bag,Furla,466.82,0,1,simple,G2IL-00003
G2IL-00003-011,Furla  37 Down Statement Bag,Furla,171.29,0,1,simple,G2IL-00003
G2IL-00003-012,Furla  37 Down Boho Bag,Furla,147.84,0,1,simple,G2IL-00003
G2IL-00003-013,Furla  37 Down Sleepwear Bag,Furla,255.78,0,1,simple,G2IL-00003
G2IL-00003-014,Furla  37 Down Cashmere Bag,Furla,448.32,0,1,simple,G2IL-00003
G2IL-00003-015,Furla  37 Down Layered Bag,Furla,41.17,0,1,simple,G2IL-00003
G2IL-00004,Cartier Men's 40 Leatherette Coat-focused Bag,Cartier,,1,1,configurable,
G2IL-00004-001,Cartier Men's 40 Leatherette Coat-focused Bag,Cartier,323.82,0,1,simple,G2IL-00004
G2IL-00004-002,Cartier Men's 40 Leatherette Street Luxury Bag,Cartier,301.99,0,1,simple,G2IL-00004
G2IL-00004-003,Cartier Men's 40 Leatherette Urban Bag,Cartier,451.29,0,1,simple,G2IL-00004
G2IL-00004-004,Cartier Men's 40 Leatherette Festival Bag,Cartier,338.54,0,1,simple,G2IL-00004
G2IL-00004-005,Cartier Men's 40 Leatherette Hiking Bag,Cartier,243.45,0,1,simple,G2IL-00004
G2IL-00004-006,Cartier Men's 53 Leatherette Coat-focused Bag,Cartier,483.48,0,1,simple,G2IL-00004
G2IL-00004-007,Cartier Men's 53 Leatherette Street Luxury Bag,Cartier,284.12,0,1,simple,G2IL-00004
G2IL-00004-008,Cartier Men's 53 Leatherette Urban Bag,Cartier,334.85,0,1,simple,G2IL-00004
G2IL-00004-009,Cartier Men's 53 Leatherette Festival Bag,Cartier,439.6,0,1,simple,G2IL-00004
G2IL-00004-010,Cartier Men's 53 Leatherette Hiking Bag,Cartier,321.05,0,1,simple,G2IL-00004
G2IL-00004-011,Cartier Men's 51 Leatherette Coat-focused Bag,Cartier,71.62,0,1,simple,G2IL-00004
G2IL-00004-012,Cartier Men's 51 Leatherette Street Luxury Bag,Cartier,354.44,0,1,simple,G2IL-00004
G2IL-00004-013,Cartier Men's 51 Leatherette Urban Bag,Cartier,460.18,0,1,simple,G2IL-00004
G2IL-00004-014,Cartier Men's 51 Leatherette Festival Bag,Cartier,95.78,0,1,simple,G2IL-00004
G2IL-00004-015,Cartier Men's 51 Leatherette Hiking Bag,Cartier,456.87,0,1,simple,G2IL-00004
G2IL-00005,Dolce & Gabbana Men's 56 Mesh Red Carpet Bag,Dolce & Gabbana,,1,1,configurable,
G2IL-00005-001,Dolce & Gabbana Men's 56 Mesh Red Carpet Bag,Dolce & Gabbana,19.62,0,1,simple,G2IL-00005
G2IL-00005-002,Dolce & Gabbana Men's 56 Mesh Minimal Bag,Dolce & Gabbana,136.97,0,1,simple,G2IL-00005
G2IL-00005-003,Dolce & Gabbana Men's 56 Mesh Beach Bag,Dolce & Gabbana,499.92,0,1,simple,G2IL-00005
G2IL-00005-004,Dolce & Gabbana Men's 56 Mesh Business Casual Bag,Dolce & Gabbana,283.53,0,1,simple,G2IL-00005
G2IL-00005-005,Dolce & Gabbana Men's 56 Mesh Slim-fit Bag,Dolce & Gabbana,348.93,0,1,simple,G2IL-00005
G2IL-00005-006,Dolce & Gabbana Men's 49 Mesh Red Carpet Bag,Dolce & Gabbana,386.05,0,1,simple,G2IL-00005
G2IL-00005-007,Dolce & Gabbana Men's 49 Mesh Minimal Bag,Dolce & Gabbana,307.63,0,1,simple,G2IL-00005
G2IL-00005-008,Dolce & Gabbana Men's 49 Mesh Beach Bag,Dolce & Gabbana,136.01,0,1,simple,G2IL-00005
G2IL-00005-009,Dolce & Gabbana Men's 49 Mesh Business Casual Bag,Dolce & Gabbana,283.09,0,1,simple,G2IL-00005
G2IL-00005-010,Dolce & Gabbana Men's 49 Mesh Slim-fit Bag,Dolce & Gabbana,392.23,0,1,simple,G2IL-00005
G2IL-00005-011,Dolce & Gabbana Men's 35 Mesh Red Carpet Bag,Dolce & Gabbana,400.97,0,1,simple,G2IL-00005
G2IL-00005-012,Dolce & Gabbana Men's 35 Mesh Minimal Bag,Dolce & Gabbana,452.87,0,1,simple,G2IL-00005
G2IL-00005-013,Dolce & Gabbana Men's 35 Mesh Beach Bag,Dolce & Gabbana,303.28,0,1,simple,G2IL-00005
G2IL-00005-014,Dolce & Gabbana Men's 35 Mesh Business Casual Bag,Dolce & Gabbana,79.19,0,1,simple,G2IL-00005
G2IL-00005-015,Dolce & Gabbana Men's 35 Mesh Slim-fit Bag,Dolce & Gabbana,37.79,0,1,simple,G2IL-00005
G2IL-00006,Michael Kors Collection Men's 51 Wool Pilates Bag,Michael Kors Collection,,1,1,configurable,
G2IL-00006-001,Michael Kors Collection Men's 51 Wool Pilates Bag,Michael Kors Collection,116.26,0,1,simple,G2IL-00006
G2IL-00006-002,Michael Kors Collection Men's 51 Wool Cozy Bag,Michael Kors Collection,69.86,0,1,simple,G2IL-00006
G2IL-00006-003,Michael Kors Collection Men's 51 Wool Wool Bag,Michael Kors Collection,98.51,0,1,simple,G2IL-00006
G2IL-00006-004,Michael Kors Collection Men's 51 Wool Rainwear Bag,Michael Kors Collection,253.04,0,1,simple,G2IL-00006
G2IL-00006-005,Michael Kors Collection Men's 51 Wool Athleisure Bag,Michael Kors Collection,274.67,0,1,simple,G2IL-00006
G2IL-00006-006,Michael Kors Collection Men's 43 Wool Pilates Bag,Michael Kors Collection,272.89,0,1,simple,G2IL-00006
G2IL-00006-007,Michael Kors Collection Men's 43 Wool Cozy Bag,Michael Kors Collection,202.48,0,1,simple,G2IL-00006
G2IL-00006-008,Michael Kors Collection Men's 43 Wool Wool Bag,Michael Kors Collection,351.86,0,1,simple,G2IL-00006
G2IL-00006-009,Michael Kors Collection Men's 43 Wool Rainwear Bag,Michael Kors Collection,149.69,0,1,simple,G2IL-00006
G2IL-00006-010,Michael Kors Collection Men's 43 Wool Athleisure Bag,Michael Kors Collection,429.43,0,1,simple,G2IL-00006
G2IL-00006-011,Michael Kors Collection Men's 37 Wool Pilates Bag,Michael Kors Collection,351.51,0,1,simple,G2IL-00006
G2IL-00006-012,Michael Kors Collection Men's 37 Wool Cozy Bag,Michael Kors Collection,455.43,0,1,simple,G2IL-00006
G2IL-00006-013,Michael Kors Collection Men's 37 Wool Wool Bag,Michael Kors Collection,325.64,0,1,simple,G2IL-00006
G2IL-00006-014,Michael Kors Collection Men's 37 Wool Rainwear Bag,Michael Kors Collection,455.67,0,1,simple,G2IL-00006
G2IL-00006-015,Michael Kors Collection Men's 37 Wool Athleisure Bag,Michael Kors Collection,207.06,0,1,simple,G2IL-00006
G2IL-00007,Nike Women's 27 Velvet Minimalist Bag,Nike,,1,1,configurable,
G2IL-00007-001,Nike Women's 27 Velvet Minimalist Bag,Nike,477.04,0,1,simple,G2IL-00007
G2IL-00007-002,Nike Women's 27 Velvet Layering Style Bag,Nike,71.6,0,1,simple,G2IL-00007
G2IL-00007-003,Nike Women's 27 Velvet Office Bag,Nike,178.3,0,1,simple,G2IL-00007
G2IL-00007-004,Nike Women's 27 Velvet Rainwear Bag,Nike,363.17,0,1,simple,G2IL-00007
G2IL-00007-005,Nike Women's 27 Velvet Ethnic Bag,Nike,495.85,0,1,simple,G2IL-00007
G2IL-00007-006,Nike Women's 44 Velvet Minimalist Bag,Nike,125.6,0,1,simple,G2IL-00007
G2IL-00007-007,Nike Women's 44 Velvet Layering Style Bag,Nike,61.82,0,1,simple,G2IL-00007
G2IL-00007-008,Nike Women's 44 Velvet Office Bag,Nike,301.12,0,1,simple,G2IL-00007
G2IL-00007-009,Nike Women's 44 Velvet Rainwear Bag,Nike,360.93,0,1,simple,G2IL-00007
G2IL-00007-010,Nike Women's 44 Velvet Ethnic Bag,Nike,424.2,0,1,simple,G2IL-00007
G2IL-00007-011,Nike Women's 58 Velvet Minimalist Bag,Nike,258.01,0,1,simple,G2IL-00007
G2IL-00007-012,Nike Women's 58 Velvet Layering Style Bag,Nike,241.31,0,1,simple,G2IL-00007
G2IL-00007-013,Nike Women's 58 Velvet Office Bag,Nike,347.55,0,1,simple,G2IL-00007
G2IL-00007-014,Nike Women's 58 Velvet Rainwear Bag,Nike,54.63,0,1,simple,G2IL-00007
G2IL-00007-015,Nike Women's 58 Velvet Ethnic Bag,Nike,229.5,0,1,simple,G2IL-00007
G2IL-00008,Hermès  38 Cord Rainwear Bag,Hermès,,1,1,configurable,
G2IL-00008-001,Hermès  38 Cord Rainwear Bag,Hermès,205.02,0,1,simple,G2IL-00008
G2IL-00008-002,Hermès  38 Cord Workwear Bag,Hermès,22.17,0,1,simple,G2IL-00008
G2IL-00008-003,Hermès  38 Cord Meeting-ready Bag,Hermès,109.4,0,1,simple,G2IL-00008
G2IL-00008-004,Hermès  38 Cord Tailored Casual Bag,Hermès,100.08,0,1,simple,G2IL-00008
G2IL-00008-005,Hermès  38 Cord Effortless Bag,Hermès,137.93,0,1,simple,G2IL-00008
G2IL-00008-006,Hermès  44 Cord Rainwear Bag,Hermès,130.53,0,1,simple,G2IL-00008
G2IL-00008-007,Hermès  44 Cord Workwear Bag,Hermès,97.16,0,1,simple,G2IL-00008
G2IL-00008-008,Hermès  44 Cord Meeting-ready Bag,Hermès,472.36,0,1,simple,G2IL-00008
G2IL-00008-009,Hermès  44 Cord Tailored Casual Bag,Hermès,223.44,0,1,simple,G2IL-00008
G2IL-00008-010,Hermès  44 Cord Effortless Bag,Hermès,482.62,0,1,simple,G2IL-00008
G2IL-00008-011,Hermès  39 Cord Rainwear Bag,Hermès,325.35,0,1,simple,G2IL-00008
G2IL-00008-012,Hermès  39 Cord Workwear Bag,Hermès,123.47,0,1,simple,G2IL-00008
G2IL-00008-013,Hermès  39 Cord Meeting-ready Bag,Hermès,183.55,0,1,simple,G2IL-00008
G2IL-00008-014,Hermès  39 Cord Tailored Casual Bag,Hermès,316.45,0,1,simple,G2IL-00008
G2IL-00008-015,Hermès  39 Cord Effortless Bag,Hermès,433.86,0,1,simple,G2IL-00008
G2IL-00009,Moschino Women's 44 Canvas Cotton Outdoor Bag,Moschino,,1,1,configurable,
G2IL-00009-001,Moschino Women's 44 Canvas Cotton Outdoor Bag,Moschino,130.1,0,1,simple,G2IL-00009
G2IL-00009-002,Moschino Women's 44 Canvas Cotton Timeless Bag,Moschino,464.18,0,1,simple,G2IL-00009
G2IL-00009-003,Moschino Women's 44 Canvas Cotton Boho Bag,Moschino,179.4,0,1,simple,G2IL-00009
G2IL-00009-004,Moschino Women's 44 Canvas Cotton Contemporary Bag,Moschino,257.37,0,1,simple,G2IL-00009
G2IL-00009-005,Moschino Women's 44 Canvas Cotton Beach Bag,Moschino,255.17,0,1,simple,G2IL-00009
G2IL-00009-006,Moschino Women's 40 Canvas Cotton Outdoor Bag,Moschino,339.36,0,1,simple,G2IL-00009
G2IL-00009-007,Moschino Women's 40 Canvas Cotton Timeless Bag,Moschino,204.73,0,1,simple,G2IL-00009
G2IL-00009-008,Moschino Women's 40 Canvas Cotton Boho Bag,Moschino,261.88,0,1,simple,G2IL-00009
G2IL-00009-009,Moschino Women's 40 Canvas Cotton Contemporary Bag,Moschino,48.75,0,1,simple,G2IL-00009
G2IL-00009-010,Moschino Women's 40 Canvas Cotton Beach Bag,Moschino,13.65,0,1,simple,G2IL-00009
G2IL-00009-011,Moschino Women's 49 Canvas Cotton Outdoor Bag,Moschino,213.38,0,1,simple,G2IL-00009
G2IL-00009-012,Moschino Women's 49 Canvas Cotton Timeless Bag,Moschino,127.54,0,1,simple,G2IL-00009
G2IL-00009-013,Moschino Women's 49 Canvas Cotton Boho Bag,Moschino,194.06,0,1,simple,G2IL-00009
G2IL-00009-014,Moschino Women's 49 Canvas Cotton Contemporary Bag,Moschino,208.71,0,1,simple,G2IL-00009
G2IL-00009-015,Moschino Women's 49 Canvas Cotton Beach Bag,Moschino,432.56,0,1,simple,G2IL-00009
G2IL-00010,Balmain  60 Faux Leather Knitwear Bag,Balmain,,1,1,configurable,
G2IL-00010-001,Balmain  60 Faux Leather Knitwear Bag,Balmain,15.44,0,1,simple,G2IL-00010
G2IL-00010-002,Balmain  60 Faux Leather Statement Outerwear Bag,Balmain,382.69,0,1,simple,G2IL-00010
G2IL-00010-003,Balmain  60 Faux Leather Evening Wear Bag,Balmain,167.58,0,1,simple,G2IL-00010
G2IL-00010-004,Balmain  60 Faux Leather Classic Bag,Balmain,102.01,0,1,simple,G2IL-00010
G2IL-00010-005,Balmain  60 Faux Leather Streetwear Bag,Balmain,379.34,0,1,simple,G2IL-00010
G2IL-00010-006,Balmain  37 Faux Leather Knitwear Bag,Balmain,108.2,0,1,simple,G2IL-00010
G2IL-00010-007,Balmain  37 Faux Leather Statement Outerwear Bag,Balmain,414.11,0,1,simple,G2IL-00010
G2IL-00010-008,Balmain  37 Faux Leather Evening Wear Bag,Balmain,236.23,0,1,simple,G2IL-00010
G2IL-00010-009,Balmain  37 Faux Leather Classic Bag,Balmain,205.94,0,1,simple,G2IL-00010
G2IL-00010-010,Balmain  37 Faux Leather Streetwear Bag,Balmain,248.23,0,1,simple,G2IL-00010
G2IL-00010-011,Balmain  57 Faux Leather Knitwear Bag,Balmain,279.94,0,1,simple,G2IL-00010
G2IL-00010-012,Balmain  57 Faux Leather Statement Outerwear Bag,Balmain,412.57,0,1,simple,G2IL-00010
G2IL-00010-013,Balmain  57 Faux Leather Evening Wear Bag,Balmain,103.4,0,1,simple,G2IL-00010
G2IL-00010-014,Balmain  57 Faux Leather Classic Bag,Balmain,14.89,0,1,simple,G2IL-00010
G2IL-00010-015,Balmain  57 Faux Leather Streetwear Bag,Balmain,425.11,0,1,simple,G2IL-00010
G2IL-00011,Puma Men's 45 Velvet Summer Bag,Puma,,1,1,configurable,
G2IL-00011-001,Puma Men's 45 Velvet Summer Bag,Puma,491.58,0,1,simple,G2IL-00011
G2IL-00011-002,Puma Men's 45 Velvet Linen style Bag,Puma,380.19,0,1,simple,G2IL-00011
G2IL-00011-003,Puma Men's 45 Velvet Modern Bag,Puma,180.94,0,1,simple,G2IL-00011
G2IL-00011-004,Puma Men's 45 Velvet Fitted Bag,Puma,90.09,0,1,simple,G2IL-00011
G2IL-00011-005,Puma Men's 45 Velvet Beach Bag,Puma,136.28,0,1,simple,G2IL-00011
G2IL-00011-006,Puma Men's 28 Velvet Summer Bag,Puma,110.3,0,1,simple,G2IL-00011
G2IL-00011-007,Puma Men's 28 Velvet Linen style Bag,Puma,277.95,0,1,simple,G2IL-00011
G2IL-00011-008,Puma Men's 28 Velvet Modern Bag,Puma,54.65,0,1,simple,G2IL-00011
G2IL-00011-009,Puma Men's 28 Velvet Fitted Bag,Puma,353.27,0,1,simple,G2IL-00011
G2IL-00011-010,Puma Men's 28 Velvet Beach Bag,Puma,303.09,0,1,simple,G2IL-00011
G2IL-00011-011,Puma Men's 38 Velvet Summer Bag,Puma,30.48,0,1,simple,G2IL-00011
G2IL-00011-012,Puma Men's 38 Velvet Linen style Bag,Puma,294.69,0,1,simple,G2IL-00011
G2IL-00011-013,Puma Men's 38 Velvet Modern Bag,Puma,159.4,0,1,simple,G2IL-00011
